"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgzYoZMfrnv2cgokmvN4AaABAg","Him-eesh Madaan","/channel/UCZQDF0x18Xe6RZayvod99zA","https://yt3.ggpht.com/a/AATXAJxEnJsJsUrXJhzy-_7TOc0ECEbjrg3dNGocJQ=s48-c-k-c0xffffffff-no-rj-mo","Let's take a pledge to take these small steps so that all of us together may bring about a big change in the world.\nShare this video with everyone you know to spread this message as far as possible.",230,"9 months ago",1560975695266,false,true,"EkQSC2pfQmw0bldZNmhnwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd6WW9aTWZybnYyY2dva212TjRBYUFCQWciAggAKhhVQ1pRREYweDE4WGU2UlpheXZvZDk5ekEyC2pfQmw0bldZNmhnQAFICg%3D%3D",30,,,,,,,,,
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnL-fQljRQ","Pawnish Tyagi","/channel/UC0-WPSWwOi5b6zkgfaSL2hw","https://yt3.ggpht.com/a/AATXAJwvOgd0jqZ65t-S5q_ISO6tzgrs9K5TMfTGDw=s32-c-k-c0xffffffff-no-rj-mo","Sir how are you ?",1,"9 months ago",1560975695678,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnOvzTF9HO","playerofyear Mishra","/channel/UCZJCTIhRHnuv5iaHyY5Nwyg","https://yt3.ggpht.com/a/AATXAJzvaf50u9QfmNBOPIQp0TA3yHIuUi1NvomYIQ=s32-c-k-c0xffffffff-no-rj-mo","I am with you",0,"9 months ago",1560975695679,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnQVzw8xya","Tarak Mandal","/channel/UCfVbAwyWyPZKMipM4nM6QRQ","https://yt3.ggpht.com/a/AATXAJy-axWMDYhNfRRgXV7mynzLudNTiC3M-s-_GQ=s32-c-k-c0xffffffff-no-rj-mo","sir...\nit is possible?\nThe government stop all plastics produce companies",2,"9 months ago",1560975695680,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnS-RA94Ws","CPN SINGH.","/channel/UCozxciiVUEkU4LtkhYBW5uw","https://yt3.ggpht.com/a/AATXAJy_6GTJ7ubP-U5jJZbGeFw6K6cAXz3YmlLvXw=s32-c-k-c0xffffffff-no-rj-mo","Yes sir..",0,"9 months ago",1560975695681,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnSqvR-Urf","Mahesh Negi","/channel/UCu_SpRMZ9m4wrEcwsgKMcLw","https://yt3.ggpht.com/a/AATXAJyPel7E2sktBUPOd4rwzM5avkeSsVc8Etgo=s32-c-k-c0xffffffff-no-rj-mo","Sir, salute to you. Aaj Aapke liye izzat or bad gayee. you are great 👍 and love you.😄",1,"9 months ago",1560975695684,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnTaDLXok7","Ab Kadir","/channel/UCFA-CiZnEBh7AOsHM9MsNgw","https://yt3.ggpht.com/a/AATXAJw2ATJWyB57cU1moKoJIBke5NHvRHx2CiHe6w=s32-c-k-c0xffffffff-no-rj-mo","Sir kbhi kbhi aap jabrjasth Video Bna Dete Hai 😊 good job Sir ji 😨",0,"9 months ago",1560975695685,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vnaa1iqtL9","Prajwal Sharma","/channel/UCuVMaLXkpi9JWaAoIS-bo-A","https://yt3.ggpht.com/a/AATXAJygx3dz_C4s2b-UL8Y0jURlajopvSRiyS6Xsg=s32-c-k-c0xffffffff-no-rj-mo","Galat ha 21.5 % nhi ha osa bhi kam  15.01 % ha",2,"9 months ago",1560975695686,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vncrkvAIs5","Kushwaha ki Vani","/channel/UC7rPJrnVQEGP5jj1cZfJrkA","https://yt3.ggpht.com/a/AATXAJySZdTMJF7d8CA9YAcy7bmr1rptskNfAqsabg=s32-c-k-c0xffffffff-no-rj-mo","Sir aaj shadi- bhandare mai sabse jyada Disposal plates, glass , chammach, fork, cup etc. Hi dekhne ko milta h....\nAkhir kyo ye sb Government ban nhi kr skti.....\nYe dekhkr mujhe bahut chot lgti h.\nJb next day ye dekhta hu ki bahar kisi kude ke dair mai jaha bacha hu khana to h lekin usme khana km aur ye sab plastics jyada h aur animals kha rhe h.\nChaye , juce, lassi, sharbat, etc pr bhi log (Customer) plastic glas ki demand krte h aur log (seller) bhi yahi krte h.\nLog kehte h ki ye glass logo ke muh se nhi lge hote isiliye ye pure aur Bimari ke karan nhi hote.\nJbki steel aur khanch ke glass mai kai bimari jama rehti h.\nSawal....\nJb ye plastic, disposal nhi thha to kya log inse bimar hote thhe. Nhi\nBalki log aaj aur next generation ko in sab ko use krke bimari de rhe h.\nPlz ek video aur banao.\nJisme in baato ko saamne laya jaye aur solution bhi do....",1,"9 months ago",1560975695687,false
,,,,,,,,,,,,"UgzYoZMfrnv2cgokmvN4AaABAg.8vnJwUcFcav8vndRp8AQh7","Rambabu gupta","/channel/UCOWqfdnzJlMPia_f1CemWBg","https://yt3.ggpht.com/a/AATXAJz-P6muxhoq7hG7I1UrPRz8Twr9oJ6CWlyNFA=s32-c-k-c0xffffffff-no-rj-mo","Best massage sir",0,"9 months ago",1560975695688,false
