"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgybJ1I1GjRAuPKifNd4AaABAg","Vox","/channel/UCLXo7UDZvByw2ixzpQCufnA","https://yt3.ggpht.com/a/AATXAJwZ5SOe9ZgiK7XusT33O0N-DXXCKqyr6hwscA=s48-c-k-c0xffffffff-no-rj-mo","Read more about the water conservation law that's helping fuel the rise in pollution: http://bit.ly/2RZrZmi",1258,"3 months ago",1576781046352,false,true,"EkQSC2JWenZaeFc1bjJRwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd5YkoxSTFHalJBdVBLaWZOZDRBYUFCQWciAggAKhhVQ0xYbzdVRFp2Qnl3Mml4enBRQ3VmbkEyC2JWenZaeFc1bjJRQAFICg%3D%3D",39,,,,,,,,,
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92bq6KFlwPj","Unkn0wn3ntity","/channel/UC4BKNC5kTS7eA9g9zpeYKGg","https://yt3.ggpht.com/a/AATXAJx99BTohw7HnxwL_YGHzedEY2G9OFWlJWmv9g=s32-c-k-c0xffffffff-no-rj-mo","Nice",0,"3 months ago",1576781046766,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92c6estQmVi","Hisham","/channel/UCawqnSZ8zcjE7FRIcu3sVsg","https://yt3.ggpht.com/a/AATXAJykKLwmgH3UTYsJoE6sNmuUS7cTEVPfVZza1Q=s32-c-k-c0xffffffff-no-rj-mo","make a video about BANGLADESH air pollution 🙀",7,"3 months ago",1576781046769,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92c7DOnhQPD","Siberyus Withengard","/channel/UC2Kdw7u3_auwIKfDVKfRvSg","https://yt3.ggpht.com/a/AATXAJxFaAgV7sPv9tXbYoiBWO_Z-UPcXl1iq43Pmw=s32-c-k-c0xffffffff-no-rj-mo","Vox thank you, this is what I need for my university thesis",9,"3 months ago",1576781046771,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92cNZ8hZCw5","Rohan Vignav Tanjavur","/channel/UC4xqQwHUneZckXZQOAJyI9w","https://yt3.ggpht.com/a/AATXAJzeQ-RZwnEppJWzmpQwPUF0scfBWxJx4gFX2A=s32-c-k-c0xffffffff-no-rj-mo","Me:sees Delhi is getting polluted\nAlso me:laughs in South Indian",8,"3 months ago",1576781046773,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92dRZ6RuD40","Nawtilis Maelis","/channel/UCSjcRDq9VL5yypxZrUYabWQ","https://yt3.ggpht.com/a/AATXAJxgBzJCWqVbpeTJ-uiuH8y8VEagKkS1G5oWYw=s32-c-k-c0xffffffff-no-rj-mo","Indians must learn to poo in the loo.",4,"3 months ago",1576781046775,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92dW8ReKQ5P","DMG","/channel/UCk1zdutezC8eHikjSnOVLRg","https://yt3.ggpht.com/a/AATXAJxWvZj7Q3qLGBYiycXNgbGZYJ28MVoqueydBA=s32-c-k-c0xffffffff-no-rj-mo","This be a bruh moment",0,"3 months ago",1576781046777,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92dX8eiL73_","Ma'az Kalim","/channel/UCBYEK48lZBMUKOa3QiqOleQ","https://yt3.ggpht.com/a/AATXAJy-Lx-SwnXHb363y6ULnDwLwuqYlFYJC-nY0A=s32-c-k-c0xffffffff-no-rj-mo",".@Rohan Vignav Tanjavur Is “South Indian” a language??? 🤔",0,"3 months ago",1576781046778,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92def1YnKgl","GrinFlash","/channel/UCgT0jQ7AeppHtOtAAjzwtcA","https://yt3.ggpht.com/a/AATXAJx76QqOvL6yZWDUts_kQ6lQNzRZ_KDGfPr0DQ=s32-c-k-c0xffffffff-no-rj-mo","@Ma'az Kalim Are you related to Maz Kanata?",0,"3 months ago",1576781046780,false
,,,,,,,,,,,,"UgybJ1I1GjRAuPKifNd4AaABAg.92bowDMmhDw92dqMZugiJl","Y B","/channel/UC_X4b7A7I1niwdw8F_KXZsQ","https://yt3.ggpht.com/a/AATXAJycilUDvZtUiaEXEhOF_zMYU4rVBY7evtjM_Q=s32-c-k-c0xffffffff-no-rj-mo","@Siberyus Withengard Great education comes from free YouTube videos. That's why universities are so expensive.",1,"3 months ago",1576781046780,false
