"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgycIR6UQE4Wj6s6gJF4AaABAg","Anas Fahim","/channel/UCKatHiDPo8fPp8TZJHDiTzw","https://yt3.ggpht.com/a/AATXAJyx7E9PC31xzUxnDacxjBdXjW274_MOrfmvAA=s48-c-k-c0xffffffff-no-rj-mo","Why don't they ban firecrackers what's more important life or celebrating diwali with firecrackers?",0,"4 months ago",1572891094893,false,false,,,,,,,,,,,
"UgxyQNNC3CFLtbbEloF4AaABAg","Satisfied Gamer","/channel/UCg3obMQPxAAasyi9coHMFFw","https://yt3.ggpht.com/a/AATXAJzSp4fO2G6D26eXnx-S0MVt5pS1iQW_LcMeMQ=s48-c-k-c0xffffffff-no-rj-mo","Ram ki dipawali diyon se Hoti h jhalar aur patakhe se nahi",3,"4 months ago",1572891094895,false,false,,,,,,,,,,,
"UgzuLQ1fyI-05KjAx514AaABAg","Melodic Nostalgic","/channel/UCb8v_HH4TYc6TiatdDBzLHg","https://yt3.ggpht.com/a/AATXAJxcKFB5Jg2rLSZOwB2UNwtoQPukP4mJcU1SqA=s48-c-k-c0xffffffff-no-rj-mo","Show us the Result of Eid, Number of Animals killed !!!",1,"6 months ago",1567620694897,false,true,"EkQSCzQtTmZXc0pBaEpZwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd6dUxRMWZ5SS0wNUtqQXg1MTRBYUFCQWciAggAKhhVQ1pGTW0xbU13MEY4MVozN2FhRXpUVUEyCzQtTmZXc0pBaEpZQAFICg%3D%3D",3,,,,,,,,,
,,,,,,,,,,,,"UgzuLQ1fyI-05KjAx514AaABAg.8yXF_MP7r3190ck8BrFgCy","sunny singh","/channel/UCttEA2jefJ2VWbDWj6K4m8w","https://yt3.ggpht.com/a/AATXAJykSHeC-ErkqRBRZ7qC47tWdyz_RkZXncfhQQ=s32-c-k-c0xffffffff-no-rj-mo","Animals are nt killing you but pollution is.",1,"4 months ago",1572891095267,false
,,,,,,,,,,,,"UgzuLQ1fyI-05KjAx514AaABAg.8yXF_MP7r3190fvrtrge4Z","yo yo","/channel/UCA6JoB0OFSD2uvbJgGbDKlg","https://yt3.ggpht.com/a/AATXAJx9v6-PeIt7f-po2NP1zSqckL7JS0Gk_gDyAA=s32-c-k-c0xffffffff-no-rj-mo","This is call poor mantality dear\nEid means kurbani for anmals not you \nBut Diwali kills you \nWe are not comparing religion brother but your thought is much toxic than Delhi pollution",0,"4 months ago",1572891095268,false
,,,,,,,,,,,,"UgzuLQ1fyI-05KjAx514AaABAg.8yXF_MP7r3190t5BHVL-rZ","iMAN","/channel/UCDkdqWs7aa_ENfb-yv7IbUg","https://yt3.ggpht.com/a/AATXAJwdxjERqyQ-YY2MWQsHu5UHmTJ5gyLRcH_J5Q=s32-c-k-c0xffffffff-no-rj-mo","Melodic Nostalgic, why dont u release a report with comparison let’s see. If u can’t do it it’s a shame on u for expecting others",0,"4 months ago",1572891095269,true
"Ugxq-uzsnI7Cgbzlo_R4AaABAg","Annonymous","/channel/UCnFtgD_L741jG1M2r5mkKpg","https://yt3.ggpht.com/a/AATXAJygqp6YQ6dEfN3a37ZJnFJtYI1QoFz9cQstVQ=s48-c-k-c0xffffffff-no-rj-mo","Main bhi indian hu Diwali ham sabka festival Hain par plzz phatake mat bajao yaar age situation our khrab hone Vali Hain 🙏",1,"10 months ago",1556993494899,false,false,,,,,,,,,,,
"UgyXCNrM4xqxhLlrvT54AaABAg","Insight Curiosity.","/channel/UC6rzStDUkAJ1My2WWAr1nqg","https://yt3.ggpht.com/a/AATXAJz0T7AEwpbol1rWMnbHdf6oHOd8K612yh60jA=s48-c-k-c0xffffffff-no-rj-mo","pollution during diwali is alright as comes once a year.",0,"10 months ago",1556993494900,false,true,"EkQSCzQtTmZXc0pBaEpZwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd5WENOck00eHF4aExscnZUNTRBYUFCQWciAggAKhhVQ1pGTW0xbU13MEY4MVozN2FhRXpUVUEyCzQtTmZXc0pBaEpZQAFICg%3D%3D",1,,,,,,,,,
,,,,,,,,,,,,"UgyXCNrM4xqxhLlrvT54AaABAg.8tRhEinuNdy90ckBrwdf_z","sunny singh","/channel/UCttEA2jefJ2VWbDWj6K4m8w","https://yt3.ggpht.com/a/AATXAJykSHeC-ErkqRBRZ7qC47tWdyz_RkZXncfhQQ=s32-c-k-c0xffffffff-no-rj-mo","Yea? So can i fck ur mum once a year too ?",1,"4 months ago",1572891096240,false
"Ugw5fhyQhOrGY462dBh4AaABAg","Tony Stark","/channel/UCoWQz7y4U0zZhXd_WLuLP4w","https://yt3.ggpht.com/a/AATXAJy1RbT9EYx7ofnmnM099RcspOO5uiplU5ZnBg=s48-c-k-c0xffffffff-no-rj-mo","2 years ago. And now. No difference. How will we sustain?  How? It’s impossible. These chutiyas (Modi or Gandhi, both are useless in this case) will always only be concerned about their vote banks. Earth will die",2,"1 year ago",1551723094902,false,false,,,,,,,,,,,
