"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgxlEe3foncfxM0WioF4AaABAg","Gaurav Goyal","/channel/UCgP5Q4-wKymdpXbKflmQLRw","https://yt3.ggpht.com/a/AATXAJyuTGzh27zf7IhJ6avgB0ieczDNeMnE2ibIrQ=s48-c-k-c0xffffffff-no-rj-mo","अगर यहाँ भी एक अड़धा कुवां होता तो क्या बिगाड़ जाता 😡😡😡😡",0,"4 months ago",1574173784082,false,false,,,,,,,,,,,
"UgxuM-5EbQEQfwAZipR4AaABAg","Gaurav Goyal","/channel/UCgP5Q4-wKymdpXbKflmQLRw","https://yt3.ggpht.com/a/AATXAJyuTGzh27zf7IhJ6avgB0ieczDNeMnE2ibIrQ=s48-c-k-c0xffffffff-no-rj-mo","सबसे मुख्य विषय कच्चा तेल ही है । जिस पर कभी कोई ध्यान ही नही देता ।",0,"4 months ago",1574173784084,false,false,,,,,,,,,,,
"UgzhIcnr_4tUi1ZN4wx4AaABAg","raees siddiquei","/channel/UCH-SlpRy0johmbfu8wCF1gQ","https://yt3.ggpht.com/a/AATXAJzpEtnv-wUJDKenUx7ZNNZzIiBcG50ZhGIwDQ=s48-c-k-c0xffffffff-no-rj-mo","I m a student and i purchase kerosene oil from every household 2 3 5 liters which they got from govt. Bpl scheme and i sell them in markets with a profit of 4 5 rupees per lit. but yesterday when i was going to sell my whole deposited kerosene oil(3 dram= 600litr.) In market suddenly some police came and they taken my all oil and fined me 20 thousand rupees..\nIn last 1 year i earnded hardly 20 thousand rupees amd they taken my all oil which was around 70 thousand now from where i will pay to those from which i have taken oil😭.. I just want why this are illegal.. I am final year student and i m preparing for upsc but they all took my money and thrown me in a debt..",0,"6 months ago",1568903384085,false,false,,,,,,,,,,,
"Ugx0tWJ2i7ZTLreHlR14AaABAg","raees siddiquei","/channel/UCH-SlpRy0johmbfu8wCF1gQ","https://yt3.ggpht.com/a/AATXAJzpEtnv-wUJDKenUx7ZNNZzIiBcG50ZhGIwDQ=s48-c-k-c0xffffffff-no-rj-mo","Why buying purchasing  kerosene oil is illegal in india??",0,"6 months ago",1568903384087,false,false,,,,,,,,,,,
"UgwjfE-1lbaTugEreh14AaABAg","dadarao kharate","/channel/UCRR1ZWopWPNeaWyx6jaTOsg","https://yt3.ggpht.com/a/AATXAJw8GcLX54clyU4W0AUXYBOlK0YMupXdzypA9Q=s48-c-k-c0xffffffff-no-rj-mo","राज्यसभा tv एक अच्छा चॅनेल है",1,"10 months ago",1558276184088,false,false,,,,,,,,,,,
"UgxGOGV3PM6Y1vNORO54AaABAg","devender rawat","/channel/UCFcq0cdw_S5e--CFoD9Ku7A","https://yt3.ggpht.com/a/AATXAJz0tjeND-4oxIArHEI8a-WrfOBMpSnSDhW-Pw=s48-c-k-c0xffffffff-no-rj-mo","It’s the best program I love it",1,"10 months ago",1558276184090,false,false,,,,,,,,,,,
"UgzVA0IMG3yLKUdSuT94AaABAg","Sunil Kumar","/channel/UCSfovdowGKMfefP4lkTi--g","https://yt3.ggpht.com/a/AATXAJwYcsP7L8hanpMtNGh6wAF4IcX1DTudAAeIsA=s48-c-k-c0xffffffff-no-rj-mo","Arthniti kab kab ata h??",1,"10 months ago",1558276184091,false,false,,,,,,,,,,,
"UgwGpIkeJkN1BLpWAMd4AaABAg","VINOD POONIA","/channel/UCu_meznCn6a-TOYoXROhs3Q","https://yt3.ggpht.com/a/AATXAJzE0To3EDyBM4BANLZqmhk3K82k12qlfQKZ0g=s48-c-k-c0xffffffff-no-rj-mo","Only news channel with some content ,keep it up ✌️",2,"10 months ago",1558276184092,false,false,,,,,,,,,,,
"UgzAZnRiHT1FM1_IC494AaABAg","777","/channel/UCCkZZ-2oVMuq6v05C6CKwog","https://yt3.ggpht.com/a/AATXAJzfDtoSC_gj7GqpePeK54FYmUykGBAeyggAsA=s48-c-k-c0xffffffff-no-rj-mo","Thank you rstv !!",1,"10 months ago",1558276184093,false,false,,,,,,,,,,,
"UgzT_62x0kSw-a9vqAx4AaABAg","shubham sharma","/channel/UC3WZ7fLq41mBmudtFdcED5A","https://yt3.ggpht.com/a/AATXAJw0XHFT7XC_5HpPROEThKtZuPeqU30hDDjVLA=s48-c-k-c0xffffffff-no-rj-mo","EXPERT PANEL WAS VERY GOOD...ESPECIALLY NARENDRA TANEJA SIR",1,"10 months ago",1558276184094,true,false,,,,,,,,,,,
"UgxFcTk7ERSIRdEc5RF4AaABAg","omkr 01","/channel/UCOQksZbOCCxVJyk_lewOhtQ","https://yt3.ggpht.com/a/AATXAJzpw-BF2beerI1TK56U0gUVTZHcmncAQJbwag=s48-c-k-c0xffffffff-no-rj-mo","India has a few million  tonnes worth of waste plastic in the country. If that plastic can be turned back into crude oil via pyrolysis, our problems will be solved!",1,"10 months ago",1558276184095,false,false,,,,,,,,,,,
"UgzmbMwIhkFCkoCzw4R4AaABAg","Real world","/channel/UC2fv1XA4RyORMzayqpZ45GQ","https://yt3.ggpht.com/a/AATXAJxkmCNC0YcdpY9HDZEa5PDWt6yuxQX6sNQWPQ=s48-c-k-c0xffffffff-no-rj-mo","भारत हर गलत काम मे 2030 साल तक नंबर 1 बन जायगा... भारत मे मुस्लिम को कहे अपनी population control करे... भारत मे हर साल LPG GAS और तैल पर बोत ज्यादा पैसे बर्बाद हो रहे हैं,     और भारत की GOVERNMENT CHINA की तरह ELETRIC VEHICLE TECHNOLOGY मे INVEST करे...",0,"10 months ago",1558276184096,false,false,,,,,,,,,,,
"UgxrW6OWJ6zrKxUv9hR4AaABAg","Real world","/channel/UC2fv1XA4RyORMzayqpZ45GQ","https://yt3.ggpht.com/a/AATXAJxkmCNC0YcdpY9HDZEa5PDWt6yuxQX6sNQWPQ=s48-c-k-c0xffffffff-no-rj-mo","भारत अपना तैल दूड़े ..    या eletric vehicle technology मे invest करो...   पेट्रोल नहीं बड़ी problem LPG GAS की DEMAND बोत बड़ा है भारत मे 95% LPG GAS IMPORT होती है.. ये LPG GAS का कोई और ALTERNATIVE बी नहीं है",0,"10 months ago",1558276184097,true,false,,,,,,,,,,,
"UgxiBDlY4Js9ledJwB14AaABAg","Real world","/channel/UC2fv1XA4RyORMzayqpZ45GQ","https://yt3.ggpht.com/a/AATXAJxkmCNC0YcdpY9HDZEa5PDWt6yuxQX6sNQWPQ=s48-c-k-c0xffffffff-no-rj-mo","भारत मे इतने साल हो गया कोई नए तैल के कुए कुए नहीं मिल रहे... सरकारी और प्राइवेट oil companies कुए नहीं कुछ कर रही है....",0,"10 months ago",1558276184098,false,false,,,,,,,,,,,
"UgwvEecT3pdAUxZhW-14AaABAg","Real world","/channel/UC2fv1XA4RyORMzayqpZ45GQ","https://yt3.ggpht.com/a/AATXAJxkmCNC0YcdpY9HDZEa5PDWt6yuxQX6sNQWPQ=s48-c-k-c0xffffffff-no-rj-mo","भारत मे तैल निकाला सुरू होना चाहिए भारत की माग़ badti जा रही है.... भारत हर साल 120 billion डॉलर तैल मे जा रहा है... भारत अपने देश मे नही निकल पा रहा है..... ONGC पुरी तरह से FAIL हो गया है.... वो भारत मे तैल डूढ नहीं पा रहे हैं....",0,"10 months ago",1558276184099,false,false,,,,,,,,,,,
"UgxQqI_nj-CHGMzxq054AaABAg","harsh Meena","/channel/UCeKitKsEEb7JNt71IpbhsAg","https://yt3.ggpht.com/a/AATXAJwg-DxqITCeyEOH7tFdSueNGOz1pqGvYaXOLg=s48-c-k-c0xffffffff-no-rj-mo","very good explain",0,"10 months ago",1558276184100,false,false,,,,,,,,,,,
"UgxWR82lAKydQ4W7TYl4AaABAg","RupsiV","/channel/UCqL-AqeVJWYBNDBtq89jRSg","https://yt3.ggpht.com/a/AATXAJxuCDyjTkFQtYw9wm3rwC26GPpWGYZamPV-yA=s48-c-k-c0xffffffff-no-rj-mo","India Iran America aur dusre khadi desho Ko lekr jo confusion tha is charcha k Baad wo dur hua aur hmari international thought b nikhar gayi is pechida mudde Ko leker \nTaneja sir ne is mudde Ko lekar practical hone baat kahi Bharat Ko \nYe is samasya ka ek behtr Samadhan mujhe lagta h",0,"10 months ago",1558276184101,false,false,,,,,,,,,,,
"UgyoVeTzan0JZJDxjnh4AaABAg","Ravi Kumar","/channel/UCbmB7eNkPOn_o6_67lRxz3A","https://yt3.ggpht.com/a/AATXAJwjRQoYAwQFgrqr8meK8MOxmIUEsHQs6cpg6w=s48-c-k-c0xffffffff-no-rj-mo","thank you RS team.. good discussion",0,"10 months ago",1558276184102,false,false,,,,,,,,,,,
"UgzljvmmXYr5PmFLmrR4AaABAg","Thor Rohit","/channel/UCzfLzkN5JdWxBSNmbImLFlw","https://yt3.ggpht.com/a/AATXAJxJFcVhPWAiR_DfgoSuYnNwx0ntBJ-BAxky1Q=s48-c-k-c0xffffffff-no-rj-mo","THANKS",0,"10 months ago",1558276184104,false,true,"EkQSC3Q2aTd3NjF6Ui1RwAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd6bGp2bW1YWXI1UG1GTG1yUjRBYUFCQWciAggAKhhVQ0lTZ25TTndxUTJpOGxoQ3VuM0t0UWcyC3Q2aTd3NjF6Ui1RQAFICg%3D%3D",1,,,,,,,,,
,,,,,,,,,,,,"UgzljvmmXYr5PmFLmrR4AaABAg.8uXgjbYnmXM91WJbRxVjt5","Gaurav Goyal","/channel/UCgP5Q4-wKymdpXbKflmQLRw","https://yt3.ggpht.com/a/AATXAJyuTGzh27zf7IhJ6avgB0ieczDNeMnE2ibIrQ=s32-c-k-c0xffffffff-no-rj-mo","9",0,"4 months ago",1574173784360,false
"UgybUZbf25XQEpEhMIN4AaABAg","cool & calm","/channel/UCkNudPUt8ly11aA-Y9k98vQ","https://yt3.ggpht.com/a/AATXAJwGKm_hkXsIT-abOqYdqrT_63RFlXUTEKLb7Q=s48-c-k-c0xffffffff-no-rj-mo","Superb...",0,"10 months ago",1558276184106,false,false,,,,,,,,,,,
"UgypDKER9nWOngGRMj14AaABAg","Rohit Tiwari","/channel/UC0mbBSkgq56ZTQXegqTlmZg","https://yt3.ggpht.com/a/AATXAJziy9qW-wE1OP-q53MPHvnZX-_HxShGx2we0w=s48-c-k-c0xffffffff-no-rj-mo","Bahut accha show hai.",0,"10 months ago",1558276184883,false,false,,,,,,,,,,,
"UgxKx6eTEV6rG-Jt9it4AaABAg","Harsh Deswal","/channel/UCcKfARITA52xPhniB-FAWDw","https://yt3.ggpht.com/a/AATXAJw_gBAdHcHW7H3q-OfPzt1GPvkrpGhDGPt6iQ=s48-c-k-c0xffffffff-no-rj-mo","Bhawukta bangal ki khaadi mein... Good one (Y)",1,"10 months ago",1558276184885,false,false,,,,,,,,,,,
"Ugyj0U54QYgpbXxeHhV4AaABAg","don hai hum don bhai","/channel/UCFgDiTL0QwOxJ9-mlGJE00g","https://yt3.ggpht.com/a/AATXAJzsi646ATMUd5al8CZ3U7MlBOg_lp_1QcbKRA=s48-c-k-c0xffffffff-no-rj-mo","I think price is going to increase but it will take time last weeks production was too much \nI invested bullish just see what happens",1,"10 months ago",1558276184886,false,false,,,,,,,,,,,
"Ugw6l3X1k88WfD5dNLF4AaABAg","NISHANT DUBEY","/channel/UCwfkJWsF5SU4NN0aI5K1LXw","https://yt3.ggpht.com/a/AATXAJwN9E-7OClKdJq4glfZbCx7mYpHOhayt8vCvQ=s48-c-k-c0xffffffff-no-rj-mo","हमें ऊर्जा जरूरतों के लिए तेल पर निर्भरता कम करनी होगी।",1,"10 months ago",1558276184888,false,false,,,,,,,,,,,
"UgyMuR5_DN2G4bRb0oN4AaABAg","Aakash Sharma","/channel/UCz8vWXHy2Whu-bTVbxNUaVg","https://yt3.ggpht.com/a/AATXAJybWVjgghUWXc3N0bReHpfli_Ro8Mj_UjeQ8Q=s48-c-k-c0xffffffff-no-rj-mo","Very good arthniti",1,"10 months ago",1558276184890,false,false,,,,,,,,,,,
"Ugwc1p_AcSX5RBR8Hrd4AaABAg","siddeh shirke","/channel/UC3oUO21W3-ODtnBJmW1pWug","https://yt3.ggpht.com/a/AATXAJwsxo_T9pOoKBW6H9DLlS6xLl8BH9UENs_w4g=s48-c-k-c0xffffffff-no-rj-mo","i think USA is right...only responcible country should carry nuclear wepons otherwise it will harmfull to all....\nexample is pakistan who alws  blackmail india with  there nuclear nukes another nation is north korea...",3,"10 months ago",1558276184891,true,false,,,,,,,,,,,
"UgzilKhrcMXZwR9Xmbt4AaABAg","md.farooque Azam","/channel/UCVaDbtOMnNX6qbgZH-MeRaQ","https://yt3.ggpht.com/a/AATXAJzkVmNlt87Rl-2n5WD4c-ZZtvP6HlI5oJzEzg=s48-c-k-c0xffffffff-no-rj-mo","Sir, jo bhi country American Hegemony ko surrender nhi krte, unse use problem ho jati hai.. Cold war era se ye chala aa rha hai.. Shanti sunishchit krne k naam per ye to or disturbance create ho rha.. Venezuela, North Korea, Iran on the verge of being invaded BY US army while Syria and Iraq perished.",0,"10 months ago",1558276184892,false,false,,,,,,,,,,,
"UgylNbaRj2nNUuU5_q14AaABAg","md.farooque Azam","/channel/UCVaDbtOMnNX6qbgZH-MeRaQ","https://yt3.ggpht.com/a/AATXAJzkVmNlt87Rl-2n5WD4c-ZZtvP6HlI5oJzEzg=s48-c-k-c0xffffffff-no-rj-mo","Samajhne walon k liye sanjeevni buti se kam nhi hai ye discussion... 👏👏🙏",2,"10 months ago",1558276184894,false,false,,,,,,,,,,,
"UgzNp94gjSJnzB1rH7d4AaABAg","Vinod Menaria","/channel/UCBkbjOrTci_boF0uvtyh5pw","https://yt3.ggpht.com/a/AATXAJw1nG1AF1j3H3vVhsRqYM7dEJqszJv0oi8yhA=s48-c-k-c0xffffffff-no-rj-mo","USA ने कहा था कि रशिया से विमान मत खरीदो फिर भी India ने रशिया से ही विमान खरीदा।\nइसलिए इस बार भी हमको अपने national interests में काम करना चाहिए।\nअगर अमेरिका रूस,चीन,भारत और ऐसी अनेक बढ़ी अर्थव्यथाओ पर प्रतिबंध लगाता है तो इसका उसे भी नुकसान होगा।\nहमे ये भी ध्यान रखना चाहिए कि china को कंट्रोल करने के लिए अमेरिका को भी हमारी जरूरत है न कि सिर्फ हमे अमेरिका की!\nभारत को ईरान से तेल आयात कुछ कम कर देना चाहिए किन्तु शून्य नहीं करना चाहिए,ताकि US को कह सके कि जब चीन आदि देश बिल्कुल भी तेल कम नही करना चाहते तब भी हमने तेल आयात कम कर दिया इसलिए हम आपके अच्छे दोस्त😀😀😀\nऔर ईरान को भी कह दे कि अमेरिका के तमाम दबाव के बावजूद भी हमने आपसे तेल आयात शून्य नही किया,इसलिए हम आपके अच्छे दोस्त😅😅😅\n\nहमे चीन के विरुद्ध अमेरिका का सहयोग भी चाहिए,ईरान की मित्रता भी चाहिए और अपना समप्रभुत्व और आत्मसम्मान भी😎😎😎",2,"10 months ago",1558276184895,false,false,,,,,,,,,,,
