"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgwXztcCOmxxdIEzUb54AaABAg","Oriantal news","/channel/UCHnBwfCZbglFHPsuC-1Pnzg","https://yt3.ggpht.com/a/AATXAJxh-e0kjg9QdWyB-vGjZIDBbKO4xzwRLZWO3A=s48-c-k-c0xffffffff-no-rj-mo","धन्यवाद",0,"3 days ago",1584369001366,false,false,,,,,,,,,,,
"UgxSPRX82ubkkMSygQ94AaABAg","master art mankumar lama","/channel/UC3HRSnIyR9AsXmiLCaXpkJQ","https://yt3.ggpht.com/a/AATXAJxUJh96bM5qIqaiFF3pvwn9o3m4tCWIU2nV0Q=s48-c-k-c0xffffffff-no-rj-mo","Good job👌👍👏",0,"4 months ago",1574173801368,false,false,,,,,,,,,,,
"UgwkoFDIPZc0quvd-Gp4AaABAg","Altaf Rja","/channel/UCAlNPpKxmz-beSpkijBxxRw","https://yt3.ggpht.com/a/AATXAJxoJ80fx3TsNMCAz84_QCyWDeQXzOUyMmO9dg=s48-c-k-c0xffffffff-no-rj-mo","At this present time RSTV  has being   influnced by the political ideology , our country is parliamentry  democracy not a presedential i hope it's clear next time improve their broadcast .",0,"6 months ago",1568903401370,false,false,,,,,,,,,,,
"UgyIFKTTEaAUg1DVV4d4AaABAg","Pratham Raykar","/channel/UCwv9umSiZWaJRbqb-vclm2w","https://yt3.ggpht.com/a/AATXAJyOeUsVWc5dW39Fq0FInTUlxcC15igEO73eYg=s48-c-k-c0xffffffff-no-rj-mo","At what time  indepth gets  broadcasted in tv?",0,"10 months ago",1558276201372,false,false,,,,,,,,,,,
"UgzOGTM5OovoO6DWtDl4AaABAg","MY KNOWLEDGE","/channel/UCb-UB3SvyefOcV2EC4Lyjfw","https://yt3.ggpht.com/a/AATXAJwCt1_ZLA-SCmswSgzKGzryo4aUJdn75f-5AQ=s48-c-k-c0xffffffff-no-rj-mo","india is a parlimentary democracy not a presidential type like America....so govt of India,,,not a single person government....hope you clear it in next time",2,"1 year ago",1553005801373,false,false,,,,,,,,,,,
"UgwL3W9tKNKJd7Iy2gd4AaABAg","Ujjawal Dubey","/channel/UC6ijw-i-5UPZ9hGg3_0PzeQ","https://yt3.ggpht.com/a/AATXAJy8yNOi_MTzQfxDGxO0I9cmODX0o_yQau8j6A=s48-c-k-c0xffffffff-no-rj-mo","Yes there are positive steps taken by government of India to transform common people life in positive way as well as steps for climate change issue but need to do more by government and by active participation of citizens",1,"1 year ago",1553005801374,false,false,,,,,,,,,,,
"UgxxU6cMP0xTrVksP794AaABAg","Book Worm","/channel/UCyLNlFIGD8gL9L2iqEshltA","https://yt3.ggpht.com/a/AATXAJxywdCfthGbTKO42zjcFkhWYpFKLy2q75C_RQ=s48-c-k-c0xffffffff-no-rj-mo","It is really  annoying  to listen Narendra modi govt everytime.is it indian govt or modi govt??.it would be a wise act if the govt  channel remains unbiased and stop siding or reciting a persons name everytime.we do respect  our honourable p.m but how legitimate is it to recite modiji' s name for every step that govt takes...",1,"1 year ago",1553005801375,false,false,,,,,,,,,,,
"Ugxi6BSxXP7o6Y85p4h4AaABAg","Kindrêd dōj","/channel/UCoWC1lvCDQM4IAwUhLN2hPQ","https://yt3.ggpht.com/a/AATXAJyvKWVnaJik3vj8twpNlIhtcXvnOnM3qhFVvw=s48-c-k-c0xffffffff-no-rj-mo","My good ness modi ji keep going 🇮🇳🇮🇳🇮🇳",2,"1 year ago",1553005801376,false,false,,,,,,,,,,,
"Ugwfmwv8bpU_ClQ0VoB4AaABAg","Rajeev Jha","/channel/UCbQ3-zKml2dHoAXjswiHnpw","https://yt3.ggpht.com/a/AATXAJwEznqJ-bSqUYl_4nn58NBgFkhOQEqijlkkcA=s48-c-k-c0xffffffff-no-rj-mo","NICE TOPIC ... TINA JHA..... KEET IT UP",0,"1 year ago",1553005801377,false,false,,,,,,,,,,,
"UgzKHDZWGUgcPuWh9Ip4AaABAg","Mansoor Ali","/channel/UCka_HSQaMKf8VwKwibvuaEQ","https://yt3.ggpht.com/a/AATXAJxPEcZtJZ5WwJlnShSF0gLqPRQYoMcheOgZpQ=s48-c-k-c0xffffffff-no-rj-mo","Best info...",0,"1 year ago",1553005801378,false,false,,,,,,,,,,,
